text,label tay,label chatgpt,label,keyword của mình,keyword của chatgpt,Reason của mình,Reason của chatgpt,từ viết tắt
"Làm thế nào để bớt overthinking ạ. Em suy nghĩ nhiều đến phát điên luôn. Nhất là những đợt rụng 🍓. Ko có nhạc hay cái j phân tán là em nghĩ nhiều tới mức tự khóc, tự cáu. Như kiểu tự kỉ, trầm cảm ý ạ. Bthg em cũng nghĩ nhiều nhưng lần nào nó đến là bắt đầu nghĩ như 1 con điên vậy. Em thấy mệt mỏi lắm ạ",1,1,1,"overthinking, tự khóc tự cáu, tự kỷ, trầm cảm","Overthinking, Cảm xúc, Tự kỉ, Trầm cảm, Mệt mỏi",,Tâm lý cá nhân,"j, bth"
"người yêu tớ năm nay học đại học, tớ học cuối cấp, bọn tớ hứa hẹn vớ nhau đủ điều, mong ngóng đợi tớ thi đại học xong để được bên nhau, mà mới vừa lên đại học được mấy tuần anh đã cắm sừng tớ rồi...",0,0,0,,,,,
"ammm... lúc trước tớ có quen 1 anh tớ và anh ấy đã từng qhe với nhau... và bọn tớ cũng đã chia tay, hiện tại thì tớ có đang tìm hiểu với 1 bạn,  tớ chưa từng nói cho bạn ấy biết chuyện tớ đã từng qhe, nma bản thân tớ có phần cảm thấy ấy nấy và cảm thấy không xứng đáng với bạn ấy... giờ tớ phải làm như thế nào đây ạ😞...",0,0,0,,,,,qhe
"MÌNH ĐÃ VÔ TÌNH LÀM TỔN THƯƠNG NGƯỜI KHÁC :((

Chào mn ạ. Hnay mình có lớp học võ, đều là người mới nên mn chưa biết thắt đai. Có 1 bạn này biết và đang thắt cho 1 bạn kia, mình có đến gần để xem thì thấy đai thừa ngắn quá so với bth, mình vô tình nói ""Ơ sao nó lại ngắn thế kia"" thì bạn đang đc thắt lên tiếng ""Cái eo người ta..."" thì mình mới nhìn lên. Đó là 1 bạn nữ mũm mĩm. Mình thề là mình không có để ý thật ạ, mình chỉ đang chăm chú nhìn bạn kia thắt đai thôi nên mới nói vậy. Mình cũng k để ý lắm, còn nói "" Tớ tưởng cậu gấp đôi đai"" tại ban nãy cũng có 1 bạn kbt nên gấp đôi đai lại làm nó ngắn như thế. Lúc sau nghĩ lại mới thấy mình lỡ lời. Mình biết khả năng bạn đó đọc được bài viết này là thấp nhưng mình thấy áy náy quá nên vẫn lên đây tâm sự ạ. Mình nên làm gì để bạn ý không hiểu lầm là mình cố ý xỉa xói bạn ý đây, mình còn k nhớ rõ mặt bạn đó nữa...",0,0,0,,,,,"mn, Hnay, kbiet"
"tớ không biết nói gì sao luôn nữa…. tớ lại buồn quá

mong duyệt được ạ cảm ơn rất nhiều",0,0,0,,,,,
"trong gia đình chẳng ai hiểu tớ, bạn bè thì ngày càng xa cách, tâm lý mình không ổn mình học càng tệ, giờ tớ không biết nên làm gì nữa.",1,1,1,tâm lý không ổn,"tự ti, không được hiểu, cảm thấy xa lạ, tâm lý không ổn định",Tâm lý cá nhân,Xã hội,
"Không biết do mình suy nghĩ nhiều hay do sự nhạy cảm của mình quá lớn mà càng ngày mình càng cảm thấy các bạn mình từng chơi rất thân, từng bước làm mình ko còn tin tưởng về họ nữa, khoảng cách cũng xa dần và cứ thế cắt đứt không một lời nói ra.",0,1,0,," nhạy cảm, mất niềm tin, tuyệt vọng về tình bạn",,Bạn bè,
"Kì vọng nhiều quá tốt không? Không hiểu sao khi em tôn trọng người khác em cũng mong muốn người khác tôn trọng lại mình nhưng mà họ không bao giờ tôn trọng em? Em kì vọng nhiều vào tình bạn lắm, đi đâu em cũng khoe về tình bạn của em với mọi người, sinh nhật ai em cũng là người đứng ra tổ chức, khi đi ăn đi uống em cũng là người chăm sóc cho mọi người. Nhưng sao mọi người không tôn trọng tình cảm của em? Mọi người phớt lờ nó, chưa từng cảm ơn em 1 câu. Hôm nay là sinh nhật của em, chỉ những người bạn nào thân lắm mới chúc em vài câu, còn những đứa trong nhóm bạn không ai chúc em lấy một câu, luôn lấy danh bạn thân nhưng mà không nói chuyện, chơi với nhau được lúc nào. Sinh nhật em bọn nó mỗi đứa một cái điện thoại, khi hát chúc mừng không một ai chúc, chỉ mình em lẻ loi, em khóc nhưng không một ai quan tâm, họ mặc kệ chỉ làm việc của họ. Thế mà em quan tâm họ biết bao giờ, em tổ chức sinh nhật cũng không nhận được một lời cảm ơn từ ai. Em đang cảm thấy rất tuyệt vọng về tình bạn, kiểu khó có thể níu giữ ấy. Đã rất nhiều lần em out nhóm chat nhưng quay lại bọn nó vẫn thế, không hề thay đổi. Em không biết bây giờ em nên làm như thế nào? Có cách nào để bớt kì vọng vào mọi thứ không ạ?",0,1,0,,"kì vọng, thất vọng, không được đánh giá, cảm thấy bị bỏ rơi",,Tâm lý cá nhân,
"Em có đang tìm hiểu một bạn nam,bạn ấy là một người rất thiệt tình,em với bạn chỉ đang tìm hiểu nhưng bạn luôn kể hết cho em nghe bạn kể là mẹ bạn cho bạn một tháng bao nhiêu tiền,rồi đến sinh nhật ba bạn bao nhiêu bạn đều kể hết cho em nghe,nhà anh có gì anh cũng kể cả,mỗi lần em nói em đi ăn ở mấy quán có thương hiệu như hadilao,king bbq,gogi.. thì bạn đều nói với em là ở đó vừa mắc vừa không ngon nữa để hôm nào anh dẫn em đi ăn mấy quán ở ngoài ngon còn rẻ nữa..có lúc đi ăn em bảo thôi để em trả cho(em chắc chắn sẽ trả tiền ăn lúc đó) em cứ nghĩ anh sẽ nói là thôi để anh trả cho,nếu anh có nói em cx sẽ trả và kh để anh trả,nhưng anh nói là ừa z em trả đi bữa sau anh dắt em đi ăn cái khác và rất nhiều lần anh nói với em là cái đó mắc cái kia mắc.. để anh dắt em đi mấy chỗ rẻ mà còn ngon hơn.Có hôm đang đi trên xe anh rủ em đi chơi ở VT anh nói mốt mình đi vt chơi ha vậy giờ em tiết kiệm đi mỗi đứa vài trăm là đủ rồi...còn lúc snhat anh em tuy chưa quen nhưng em vẫn mua quà khoảng 400 tặng cho anh(em là sv🥲) đến trung thu anh tặng em sợi dây chuyền 2 3 chục gì đấy cho em,thật ra nếu mấy anh mà có bồ nếu thấy mình không có đủ đk thì lấy anh có quen bạn gái không ạ hay là mình có bạn gái trước rồi lấy đó làm động lực để cố gắng kiếm tiền lo cho cô ấy ạ. với cả con trai thiệt tình quá thì có nên không ạ,em cảm ơn,em chỉ sin ý kiến thôi ạ mong mng đừng toxic ạ",0,0,0,,,,,
"Mình chỉ lên đây để nói là mình có người bà đáng yêu, cưng cháu lắm🌷
Nhà mình khá nghiêm khắc nên có thể nói mình áp lực khá nhiều về học tập và cả các mối quan hệ. Tuy nhiên, bà luôn xuất hiện ở trước cửa phòng mình cùng đĩa trái cây mỗi khuya khi mình khóc với câu nói "" T đi vệ sinh thì thấy phòng m khuya lắc khuya lơ còn sáng nên chắc buồn gì nữa rồi chứ gì. Khóc cho đã đi rồi nói t nghe coi ai làm gì cháu t"". Thật ra là ngày nào bà cũng 1 xíu là ra khoảng sân trước nhà nhìn lên để canh mình tắt đèn rồi chịu mới đi ngủ tại sợ mình buồn á😭
Bà cũng là người ủng hộ mình nhiều nhất về mọi mặt. Mình là nữ và ny mình cũng là nữ. Khi bà mình biết chuyện không những không phản đối mà còn trêu "" Con bé đó xinh xắn, thông minh vậy sao mà yêu m được hay vậy"". Sau đó bà còn nói dối là bạn thân mình qua đưa mình đi làm bài nhóm rồi để mình đi chơi với gái cơ🤭 
Và cuối cùng bà rất thương mình... Bà đã 89 nhưng còn khá khỏe nên chiều nào cũng đi bộ ra công viên (cách nhà mình tầm 400m) để ngồi chơi và lần nào về bà cũng xách không bánh tráng, trà sữa thì xiên nướng về cho mình🥺 Bà hay mắng yêu mình là "" thích mấy thứ tào lao"" vậy thôi chứ mình nói vu vơ gì bà cũng để tâm và tìm cách mua cho mình cơ.
Nói chung là mình cũng yêu bà lắm luônnn❤🌷 1 số cái moment nhỏ xíu thôi đã khiến bài dài rồi nên mình sẽ dừng nhé. Cám ơn mọi người vì đã đọc và chúc mọi người có một ngày tốt lành ạaa",0,0,0,,,,,m
"mình không phải người mà “ba mẹ chửi có tí đã lôi lên mạng xã hội” , mình biết vì ba mẹ mình đi làm mệt mỏi nên có hơi khó chịu nên mình cố gắng phụ giúp việc nhà , mẹ mình buôn bán nên chiều tối mẹ về mình phụ mẹ xách đồ vô và dọn cơm nước cho mẹ mình ăn . Nhưng mẹ mình vô lí quãi , mình làm gì mẹ mình cũng chửi hết…Nhiều lúc mình muốn tâm sự nma chỉ vừa nói hết câu thì mẹ mình bảo “ m nói mấy cái tào lao,xàm,…” còn nói mình trù ểo nua,nói chung là mình tâm sự đc 1-2 lần mà mẹ mình nói vậy cái giờ mình cũng im luôn . Đối với mình là z , nhà mình có anh họ ( mẹ mình với mẹ anh họ là 2 chị em ruột sống chung nhà ) anh đó nói gì hay giỡn gì mẹ mình cũng cười tươi đáp lại hết á…Nhiều lúc mình cũng tuổi thân , mình giỡn với mẹ thì mẹ lại cọc cằn với mình mà anh họ mình giỡn với mẹ thì mẹ mình cười nói vui vẻ … Mình chỉ kể lại câu chuyện của mình cho mọi người cùng biếtt với mình hoii ak 🫶🏻🫶🏻🫶🏻",0,0,0,,,,,"m, z"
"em ngày càng mệt mỏi, sáng đi học em có thể full năng lượng nhưng khi em về nhà em khóc rất nhiều, nhưng em không biết lý do, chỉ đơn giản là khóc rất nhiều, gào thét rất nhiều, sau đó em rạch tay. Mấy lần trước em chỉ rạch sơ bên ngoài nhưng dạo đây em rạch ngày càng sâu, máu tuôn ra và em chẳng cảm nhận được nổi đau nào trên da cả, khi em bình tĩnh lại thì máu tràn đầy cả tay em và nhỏ lên trên sàn nhà. Lúc đó em hoảng sợ lắm, em buồn nôn kinh khủng, em phải làm sao đây, em không biết em cầm cự được bao lâu nữa
p/s: em chỉ muốn giải toả thôi nhưng em không biết nói với ai cả, em xin lỗi nếu làm mọi người khó chịu với những dòng này của em",1,1,1,"khóc rất nhiều, mệt mỏi, rạch tay","mệt mỏi, khóc nhiều, rạch tay, hoảng sợ, buồn nôn, cảm xúc không kiểm soát",Tâm lý cá nhân,Tâm lý cá nhân,
"Quen nhau mà không đòi hỏi gì thì liệu bản thân có chịu thiệt không ạ? Thấy mọi người hay bảo nhau giờ mình không đòi thì mốt quen người khác nó cũng đòi, nhưng...

Ny mình hiện tại đang là sinh viên vừa đi học vừa đi làm, gia đình cũng không khá giả nên quen nhau hơn 4 tháng mình chưa từng đòi bạn phải mua cho mình bất cứ thứ gì, dù là chỉ một ly trà đào trà sữa. Bạn ấy dường như là kiểu người không quá coi trọng chuyện tặng quà cáp, nên mấy dịp lễ lộc mình sẽ không nhận được gì. Có chăng mấy lần bạn đi học về quê rồi mua cho mình cái bánh, và chỉ vậy thôi. Dù mình không mở miệng đòi, nhưng con gái mà, ai chẳng thích được tặng quà này kia đúng không? Thấy người ta đăng tin khoe mình cũng có chút tủi thân. Mình không cần bạn tặng gì giá trị lớn lao, dẫu được nhận cái kẹp tóc mình cũng vui nữa. Mình không biết bạn ấy thế nào, chứ mình mỗi khi lướt thấy có cái áo hay đôi giày nào đẹp là nghĩ ngay tới việc muốn mua cho bạn ấy liền. Hay trong lúc nói chuyện, bạn vô tình kể balo bị rách rồi, sau đó mình lập tức lên mạng tìm mấy mẫu balo phù hợp thêm vào giỏ hàng. Bản thân mình cũng không khá khẩm gì, nhưng mỗi tháng sẽ mua tặng bạn ít nhất một món gì đó, với mình thì không nhất thiết phải có dịp mới được tặng. Bạn ấy thì chắc không suy nghĩ được như vậy...

Với bạn thì chỉ cần đi ăn, đi chơi với nhau rồi để bạn trả tiền, về rồi hôn vài ba cái là được. Và mình cũng chưa bao giờ để bạn phải khao mình 100%, mua đồ tính tiền chung thì sẽ gửi trả lại bạn phần của mình. Haizz... sắp tới là lễ 20/10 và sau đó không lâu sẽ tới sinh nhật mình, mình không còn hy vọng gì nhiều nữa, đã chuẩn bị sẵn tâm lý cho việc lại tiếp tục không nhận được gì từ ny. Mình còn đang nghĩ tới việc lúc đó sẽ tự mua hoa, gấu bông và bánh kem cho bản thân coi như an ủi...

Chậc. Ny là do mình chọn, mình biết giờ mình không có quyền khóc lóc hay ăn vạ ai. Chỉ chia sẻ vậy thôi. Bạn có thương mình thật, nhưng mình cần bạn tinh tế và để ý mình hơn một chút, dù sao thì sự kiên nhẫn của con người cũng có giới hạn, mình sắp hết chịu được rồi...",0,0,0,,,,,Ny
"bạn nghĩ ở độ tuổi nào thì con ngta sẽ trưởng thành? vâng chính xác là không 1 độ tuổi nhất định nào cả. bạn chỉ thật sự lớn khi biết sót thương cho chính bản thân mình. nói chính xác hơn khi bạn nhận ra tình cảm bố mẹ giành cho mình😊 tôi ước, ước mình có thể nhận ra điều này sớm hơn...",0,0,0,,"dọa dẫm, rối",,,ngta
"Hi mng chuyện là e có quen với nyeu hiện tại nhưng xảy ra nhiều chuyện, nyeu e làm ra nhiều chuyện tồi tệ với e, vả lại hai đứa cũng bất đồng quan điểm và không thể nào hòa thuận đc. E có ngỏ lời muốn dừng lại thì ảnh dọa dẫm sẽ ns chuyện vs bố mẹ e và gửi những hình ảnh nhạy cảm của e cho bố mẹ e, e rất chán mối qhe này rồi, ảnh cũng bt vậy nhưng không chịu buông tha cho e. E cũng đang rất rối, e cảm thấy bản thân như một con rối trong tay anh ấy vậy á mng. Cho e xin lời khuyên với ạ",0,1,0,,,,Tình yêu,"mng, ns, nyeu, e"
"Add duyệt bài này nhanh giúp em với ạ
Em có ngồi cùng với ba bạn nữ nhưng em cảm thấy em luôn là người dư thừa có đồ ăn gì Ba bạn đều chia cho nhau cả còn em thì phải xin mới cho mỗi lần đi học về ba bạn đấy đều đi về với nhau còn để mặc em bơ vơ đi về một mình em thật sự rất buồn và suy nghĩ nhiều
Đỉnh điển là hôm nay em lỡ hiểu lầm nên 1 bạn trong bàn cũng chính là bạn em chơi thân nhất giận em, em đã không lắng nghe bạn nên bạn cũng k muốn nch với em nưã, đi học thêm thì em ngồi với mỗi bạn đấy nhưng vì bạn giận nên em ngồi 1 mình bơ vơ.. ai cũng nhìn em bàn tán..không ai muốn ngồi với em cả...
Em có xin lỗi bạn nhưng bạn không chịu nghe mà block em.. em phải làm sao đây ạ ..",0,0,0,,,,,"k, nch"
"Chào anh chị, em 21t và đã có gđ. Nhưng mỗi lần về nhà ba mẹ ruột chơi thì lại chứng kiến cảnh ba mẹ cãi nhau, chẳng phải chuyện gì to tát cả, chỉ là tính mẹ em hay nói và ba thì tính nóng, mặc dù em và anh của em có khuyên rồi nhưng ba mẹ vẫn cãi. Bản thân mẹ em thì đã chịu cực khổ từ xưa rồi, mẹ phải chịu đựng những lời nói nặng lời của mấy cô bên nội, mẹ đã khóc rất nhiều đến giờ vẫn vậy. Ba em thì cũng khá vô tâm, nóng tính nhưng thương con cháu và biết lo cho gđ. Hiện tại em cũng đang mang thai, sáng nay lại chứng kiến ba mẹ cãi nhau và em thấy mẹ em khóc rất rất nhiều, em thì không giỏi thể hiện sự quan tâm ra bên ngoài, nhưng em rất thương mẹ. Em cũng khóc rất nhiều, nghe người ta nói bầu thì khóc sẽ không tốt cho con, nhưng mỗi lần nghĩ đến mẹ phải khổ cực như vậy em không chịu được",1,1,1,khóc rất nhiều,"cãi nhau, khóc nhiều",Gia đình,Gia đình,gđ
"Em là một học sinh, em cảm thấy mình cũng không quá giỏi đều tất cả nhưng cũng gọi là khá ạ. 
Hôm nay có một bạn mải nói chuyện không chịu làm bài bị giáo viên gank thì mới luống cuống tìm em cho mượn bài . Vì trước đó bạn có xỉa xói em những buổi đầu vì em quê mùa nên em không ưa lắm thành ra em từ chối. Ấy thế mà đến lúc bạn A mượn bài thì em vui vẻ cho mượn.Bạn ấy nhìn ké của bạn A rồi chép hết bài của em.

Kết quả bạn điểm cao rồi giờ nghỉ bạn xỉa xói kêu em là ích kỷ thích phân biệt người giỏi người dốt thế kia. Em cố bớt suy nghĩ rồi mà mấy câu nói ấy cứ chạy quanh trong đầu em ạ. 

Có phải em ích kỷ quá không ạ?",0,0,0,,,,,
"Mọi người ơi. Nếu trong đám tang người thân ( bà nội ) mà mình không khóc thì có tội hay bất hiếu gì không ạ? Người bà này thì đối xử với mình không nóng không lạnh và khi đi đưa tang mình chả có cảm xúc gì hết, mình không đau buồn mà chỉ cảm thấy việc mình đang làm chỉ như một nhiệm vụ bắt buộc của một người làm cháu như mình mà thôi. Mình mới bị bố mắng vì thái độ vô cảm, không một chút tiếc thương cho bà. Vậy liệu hành động của mình có sai không? Mong mọi người trả lời.",0,0,0,,,,,
"Tớ với anh chia tay rồi , chỉ yêu nhau vui vẻ vỏn vẹn 4 tháng , vui nhiều hơn buồn , nhưng nyc tớ nhắn tin chửi anh , anh không chấp nhận được nên chia tay , đến giờ chuyến xe này cũng dừng lại được 6 tháng rồi , tớ vẫn yêu anh , nhưng chúng tớ lại không thể , anh đôi khi vẫn rất tốt với tớ quan tâm , hỏi han tớ , nhưng đôi lúc lại lạnh nhạt đến đau lòng . Tớ thật sự rất muốn dừng lại không liên lạc với anh nữa, tớ muốn quên đi đoạn tình cảm này , nhưng càng muốn càng không thể . Tớ nên làm gì bây giờ ?",0,0,0,,,,,nyc
"Xin chào các bạn, mình là nữ, năm nay 22t, mình muốn tâm sự một chút về gia đình của mình và mong các bạn bình luận nhẹ nhàng với mình thôi ạ ( mình hơi nhạy cảm và dễ khóc nên mọi người thông cảm cho mình với ạ)

Mình lớn lên trong gia đình đơn thân, mẹ một mình nuôi 3 ce khôn lớn. Học hết cấp 3 mình đi làm mà k học đại học, vì sau mình còn 2 em ăn học. Ra trường mình đi làm đc 2 năm, 2 năm đầu mình có gửi tiền về để mẹ sửa nhà nhỏ và mình sắm điện thoại ( vì điện thoại mình bị hư). So với bb đồng trang lứa thì mình k sắm sửa, k ăn diện hay chơi bời gì cả. Đi làm mình đều gửi tiền về phụ mẹ nuôi em. Sau mình là 1 gái và 1 trai. Em gái mình rất xinh( nó khác xa mình, mình k có ngoại hình lẫn khuôn mặt đẹp), rất được mẹ thiên vị. Em trai mình lại càng đc mẹ yêu thương nhiều hơn, vì là con trai và mẹ có thiên hướng trọng nam khinh nữ. 2 năm gần đây mẹ bắt mình ở nhà đưa rước em đi học và lo cơm nước, phụ mẹ buôn bán. Việc làm mình tủi thân trong nhà đó là mẹ thiên vị các em, hay nói nặng lời với mình, và đôi lúc có cả xúc phạm nữa, hơn nữa đó là mình làm việc cho mẹ nên k có tiền chi tiêu và mẹ hay than rằng k có tiền, kiểu cũng chê mình k có tiền phụ mẹ, trong khi làm việc cho mẹ mình k được trả lương, tính mình cũng k thích xin tiền mẹ. Mẹ mình ra ngoài hay khen em trai, cũng hay khen e gái trước mặt mình vì con bé nhận lương có phụ mẹ 1 ít. Nhiều lần mình xin mẹ đi làm thì mẹ chửi mắng mình rất thậm tệ, còn nói rất nhiều điều tồi tệ. Người ngoài nhìn vào luôn bảo mình sao k đi làm đi, ở với mẹ k có vốn còn k được tự do. Nhiều người hay bảo mình ra ngoài mới có quyền chọn chồng, còn cứ ở nhà thì chồng chọn. Mình suy nghĩ rất nhiều về vấn đề này. Người ngoài luôn thấy mẹ mình mạnh mẽ, chịu thương chịu khó, một mình nuôi con cái ăn học, k thua kém ai. Nhiều lần cũng nghĩ, hay bỏ nhà đi làm (hay là xuống tóc xuất gia) mà mình lại sợ, ở nhà mẹ k có mình phụ, lỡ có chuyện gì chắc mình ân hận cả đời. Mình thật sự rất mệt mỏi và tủi thân. Đêm về mình khóc rất nhiều. 

Cảm ơn các bạn đã đọc và lắng nghe mình tâm sự, mong mọi người góp ý nhẹ nhàng với mình  và cũng không nặng lời với mẹ mình ạ.",1,1,1,"nhạy cảm và dễ khóc, chửi mắng thậm tệ, mệt mỏi, tủi thân","mệt mỏi, tủi thân",Gia đình,Gia đình,ce
"cho mình hỏi stress là như nào v ạ? ai trải qua r cho mình biết dấu hiệu với. Mình dạo này thường lo lắng, suy nghĩ tiêu cực và hay suy diễn, mơ nhiều (mơ kiểu mình biết được mình làm gì ấy nma trong mơ vẫn lo lắng), thức dậy giữa đêm, hay đ.au đ.ầu,chóng mặt,mắc ó.i, khó thở, dễ tức giận và khóc không có lý do nữa, về mặt sinh lý thì mình ra rất nhiều “khihu”, bình thường mình rất vui vẻ và hoà đồng nên không dám chắc bản thân bị stress...",0,1,1,,"lo lắng, suy nghĩ tiêu cực và hay suy diễn, mơ nhiều, thức dậy giữa đêm, hay đ.au đ.ầu,chóng mặt,mắc ó.i, khó thở, dễ tức giận và khóc",,,"v, r"
"Có ai như mình không ạ, mình 2k5, và mình đỗ vào một trường công nhưng nó không đúng nguyện vọng của bố mẹ mình ý. Nên ép mình ở nhà hẳn năm, không cho đi đâu cả. Ban đầu mình đòi đi lắm vì cũng muốn bằng bạn bằng bè. Những mẹ mình thuộc tuýt người bảo thủ, chả nghe ai nói cả, chỉ muốn mình ở nhà ôn thi lại từ đầu, rồi lôi kéo bố mình không cho mình đi học. Thì sau khi suy nghĩ rất nhiều, thì mình vẫn phải nghe theo bố mẹ thôi. Mình là đứa ít nói, nhát, không giỏi giao tiếp nhiều. Và mình nghĩ là mình sẽ chỉ cần đi học thêm Anh thôi, vì do Anh mình kém nên điểm thptqg bị kéo. Còn Văn thì sau tết mình mới định học. Và nghĩ rằng mẹ mình là giáo viên dạy Toán cấp 3 nên cũng có thể kèm cho mình, ôn cho mình được nên mình cũng nhẹ lòng vì bớt phải đi học thêm. Vì giờ đi học thêm mình sẽ phải học cùng các em lớp dưới, nên mình suy nghĩ nhiều lắm. Biết là chả sao đâu, ai chả có con đường riêng, những mình cứ bị lo lắng ý. Và điều khiến mình khó chịu nhất là dù mẹ là giáo viên dạy Toán những lại chả thể dạy được con, ném mình đi học thêm hết chỗ này chỗ kia, thực sự rất ghét điều đó luôn ý.",0,1,1,,"áp lực gia đình, không được hỗ trợ, lo lắng, lo lắng về tương lai, không tự tin",,Gia đình,thptqg
"“M xấu vậy mà cũng bày đặt tháo khẩu trang ,ghê quá đeo vô lại đi ”
Chắc cũng chỉ là câu nói đùa nhưng tớ đã suy nghĩ khá nhiều 😊",1,0,1,"xấu, suy nghĩ khá nhiều",,Xã hội,,m
"Có những cuộc điện ngắn ngủi, nhưng lại là sự yêu thương. 

20h, cuộc gọi nhỡ từ mẹ
Mẹ gọi zalo cho tớ nhưng tớ đang đi ngoài đường nên không có mạng. 

20h30, mẹ gọi điện thoại
- Alo ạ, mẹ bảo gì con đấy
- Mở mạng lên mẹ cho xem cái này. 
- Con đang đi chơi với bạn, đợi con bắt wifi đã. 
Tớ bắt wifi và gọi lại qua zalo cho mẹ
- Đâu mẹ cho con xem cái gì? 
- Thấy gì chưa? 
- Hoa quỳnh nở rồi à mẹ, đẹp thế. 
- Bố mẹ đang xem tivi, thấy mùi thơm. Chạy ra xem thì thấy hoa nở rồi. 

Vì hoa quỳnh chỉ nở trong đêm, hôm sau nó sẽ tàn. Nên mẹ phải gọi cho tớ coi luôn. Có lẽ mấy điều tưởng nhỏ nhặt vậy thôi nhưng mà với tớ đó lại là sự yêu thương của bố mẹ dành cho tớ.",0,0,0,,,,,
"Chào mọi người,
Mình 25t và muốn hỏi việc đến giờ vẫn chưa có người yêu là không được bình thường ạ? Mình cảm giác bản thân không thích ai cũng không ai thích mình. Mình nghĩ việc đó vẫn ổn nhưng mẹ cứ luôn đem mình ra để đùa cợt. Nhà chỉ có 1 con gái mẹ sợ mình bđ nên cứ gặp ai được chút là làm mai làm mình mệt mỏi quá.",0,0,0,,,,,bđ: bê đê
"“mình thấy bất lực với tình yêu”

Mình có bạn trai và chúng mình bên nhau cũng gần 1 năm. Tuỳ thời gian yêu đương không ít cũng chẳng nhiều nhưng chúng mình thấu hiểu nhau phần nào. Mình là người khá nhạy cảm và dễ suy nghĩ, lắm lúc mình cũng tự mệt mỏi với chính bản thân. Những suy nghĩ tiêu cực không ngừng diễn ra trong đầu nhưng mình biết, mình không nên để chúng thoát ra ngoài hay ảnh hưởng tới bất kì mqh nào xung quanh. Người yêu mình cũng không ngoại lệ. Nhưng anh hiểu mình ovtk…chỉ biết thôi chứ chẳng hành động gì cả. 

Mình chấp nhận việc ngy có công việc bận đột xuất có khi là vào buổi tối đêm. Mình lo lắm. Những cuộc gọi thúc giục anh làm việc nhiều khi khiến anh quên cô bạn gái là mình còn đang chờ anh rep. Và tất nhiên, trong khoảng thời gian 20-30p ấy, mình chờ đợi anh trong bất lực, không biết anh đang làm gì hay anh có chuyện gì…

Đã nhiều lần mình nói với anh rằng anh bận thì nói với em một câu cho em đỡ lo, anh rảnh rồi mình trò chuyện tiếp cho em yên tâm. Đừng để em một mình, em sợ lắm…dẫu vậy thì anh vẫn chẳng thay đổi mà chỉ ậm ừ xin lỗi.

Mình yêu anh, yêu anh rất nhiều. Chỉ là, “nếu anh thật sự để tâm, anh có vì điện thoại không thông báo mà không rep em lâu tới vậy không?”. Suy nghĩ này không ngừng vang lên trong đầu mỗi khi anh mở lời xin lỗi vì không thấy tin nhắn. Bởi mình là người luôn mong ngóng anh chăng? Nên từng phút một trôi qua, mình đều chờ đợi anh…vô vọng.

Mệt rồi…dù yêu anh, mình mệt rồi. Những điều trên kia không phải nguyên nhân khiến mình mệt. Rất nhiều lần anh vô tâm kiểu vậy, mình đã nói, anh không sửa. Chẳng biết sao nữa. Bản thân không buông được, chỉ muốn khóc…",1,1,1,"nhạy cảm, dễ suy nghĩ, overthinking, rất mệt mỏi, chỉ muốn khóc","bất lực, suy nghĩ tiêu cực, cảm giác không được quan tâm, mệt mỏi, trầm cảm, không biết làm gì, mất hy vọng",tình yêu,Tình yêu,ny
"Tớ xin lỗi đã làm phiền mng. Tớ hiện tại như bị rối tung lên, có lẽ thương thương là cái emoji gì đó rất bình thường với mn. Nhưng đã có ai hiểu cảm giác ny hiện tại mình đi thả TT với bài viết của một ng khác giới khác, ng khiến các cậu từng lo âu vì cảm thấy k an toàn, ng rất thân thiết với ny hiện tại hay không ạ .
Tớ vừa cãi nhau một trận với ny, tớ không biết do là tớ trẻ con vô lý, hay thực sự do tớ quá nhạy cảm với việc anh ấy đào hoa nhiều ng thích (dù tớ biết anh ấy rất thương tớ và luôn sẵn sàng công khai tớ với mọi ng, thậm chí là gia đình hàng xóm của anh). Nhưng thực sự anh luôn vô tình làm mình tổn thương bằng những hành động nhỏ nhặt của anh. Anh thả Tt bài viết bé rất rất thân thiết với a trong trường, và cả hai đã từng bị ng khác nhầm là ny của nhau ấy, và mình đã rất buồn và ám ảnh điều đó. Khi tớ cố gắng để chia sẻ cho anh ấy những gì tớ cảm thấy bằng những dòng tin nhắn dài, thì đáp lại đó là lý do vì sao anh ấy thả Tt (anh bảo tớ chỉ nghĩ đó là do gái đăng mà k nghĩ đến nội dung đó ntn). Trước ngày cả hai cãi nhau, tụi tớ đã có kì thi quan trọng, tớ phát hiện chuyện này trước hai ngày thi, và cố để trong lòng đến khi cả hai thi xong để không ảnh hưởng kết quả thi cả hai, vừa học bài vừa ức khóc ấy. Tớ cũng không biết liệu bản thân mình có đúng hay do nhạy cảm mà quá đáng với anh, tớ thật sự trống rỗng và nghẹn ấy, dù biết anh yêu mình và không có ý gì với bé đó cả.. 
cám ơn mọi người nhé ❤️",1,1,1,"lo âu, nhạy cảm, buồn, ám ảnh","cãi nhau, tổn thương, lo lắng, không hiểu biết, cảm xúc phức tạp, sự cô đơn",Tình yêu,Tình yêu,tt: tương tác
